year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2068,,1652.5493515455296,1766.2524590643825,1872.1758463386534,1756.763969033117,1883.033802617137,1978.35656425734,1760.4316017058318,1897.3876458488808,1981.610134875582
2069,,1774.875133025001,1821.4325776291134,1877.893279278489,1751.2921841787854,1882.1653147021964,1966.678031615838,1844.3465647072328,1960.1989172112862,2066.8400480774794
2070,,1713.136121192275,1819.8964928564753,1911.8750576877749,1690.575905589463,1858.7385385602186,1992.5813660996862,1783.7641290157267,1901.1832531303364,1963.6812613399075
2071,,1716.5434556582186,1770.4327067683378,1844.9383179645015,1715.7934968884035,1881.078274900977,2044.713521831636,1783.7531892146555,1932.380438270461,2075.0352387184994
2072,,1695.3628205706013,1777.2530069776676,1840.5171162382553,1762.0548836161329,1870.3318061193095,1985.5828749184775,1824.91347714392,1943.2797729780468,2071.514974354113
2073,,1704.667820281909,1793.952557897337,1855.5671772928038,1665.6938268641948,1848.2757094758465,1987.3344336410046,1845.063998235558,1931.0995985281552,2064.1019513592764
2074,,1790.0249419108313,1860.2272176370047,1907.7186220277515,1742.7463882279262,1868.6603960141572,1973.6851948987003,1847.349909294655,1960.508705136154,2080.7187249291565
2075,,1632.320567642684,1739.357648227368,1832.3153055214739,1627.5342372351931,1837.8020448624025,1994.0071025451,1843.146972509513,1975.2473330044795,2047.783469827891
2076,,1790.7025168466107,1821.65143482813,1873.2610802939375,1714.6989707794187,1829.1410510953745,1964.0307302211763,1869.0068673437827,1993.4479284702702,2119.6567289847953
2077,,1651.340808844584,1773.4741116717446,1883.9336243121725,1711.0430528094844,1877.683472568205,1989.4512282431979,1838.7987056706002,1974.1427370316637,2073.7254252719745
2078,,1699.004766856422,1780.5155579408852,1864.9503211518918,1733.8349358443413,1864.2263525574733,1975.9506203412013,1897.8489731626569,1989.7624882583343,2035.158116357169
2079,,1720.7527342313674,1824.0662177557297,1925.6628169577348,1796.5085259970617,1871.2396926356728,1964.3828360852126,1880.346702715304,1979.7708476952605,2061.1768122723206
2080,,1729.3150790894588,1829.9479347817673,1919.0997165335752,1773.0951218287876,1912.626029705219,2003.783747511022,1858.0732188917577,1998.9572412837697,2162.007270541994
